SKSKS,DLDUD,PDPGP,MWMWM,FTFTF,AXAMA,RYRGR,DODOD,QTQAQ,YEYEY
GYGDG,SWSWS,HLHUH,DEDED,ZPZOZ,ATATA,QOQOQ,FPFGF,TRTET,DQDQD
PLPLP,ATAIA,SKSGS,ZYZYZ,QSQSQ,TZTDT,JYJGJ,DYDYD,LTLCL,FQFEF
