5,151,152,225,161,151,233,161,162,151,231,151,152,153,194,171,151,152,71,191,152,161,151,161,231,151,152,193,171,162,82,151,171,151,171,172,163
5,151,161,162,151,152,161,162,191,223,151,152,181,82,151,152,193,235,161,162,163,151,192,161,182,163,151,181,162,71,161,182,191,152,171,151,161
5,161,191,161,151,161,221,151,152,161,233,151,192,161,81,181,172,191,161,235,151,161,191,161,191,152,171,71,161,162,163,151,152,153,171,162,163
5,151,152,153,154,195,156,157,158,192,181,225,181,162,151,71,161,162,151,161,172,183,191,152,181,172,221,181,162,151,233,161,172,151,161,162,82
5,151,161,151,181,151,223,161,182,191,221,181,151,192,193,194,81,161,162,163,164,151,192,161,151,235,151,152,153,161,172,163,71,161,162,163,151
5,161,172,183,151,161,235,191,192,153,161,162,221,191,161,162,191,71,151,152,223,161,151,152,153,161,151,171,162,183,191,81,161,191,161,162,151
5,161,191,152,231,161,151,192,161,151,152,161,81,151,152,181,151,161,191,161,162,191,152,161,172,183,235,191,152,153,171,151,161,162,71,161,162
5,151,161,151,161,182,151,192,235,161,151,71,151,192,153,194,195,156,161,151,152,161,235,161,151,231,151,161,221,192,153,184,181,162,151,82,191
5,151,152,181,151,171,191,161,151,192,82,151,171,151,192,153,171,191,223,161,162,163,164,233,151,161,162,163,71,151,152,153,161,191,235,181,151
5,161,162,163,151,152,161,233,161,162,163,221,161,151,171,162,151,82,191,192,161,151,181,162,191,161,191,192,225,191,161,151,152,71,161,151,192
5,151,152,153,194,161,233,181,162,183,164,151,161,162,81,161,172,163,164,151,152,153,233,151,192,193,235,162,151,192,153,231,151,152,181,71,171
5,151,161,223,161,151,171,231,161,182,191,161,162,151,152,71,151,192,225,161,162,163,151,161,162,191,192,161,151,82,191,152,161,151,192,193,161
5,161,151,152,181,162,183,191,152,161,82,151,192,161,162,163,223,191,192,161,162,191,192,153,161,162,225,161,162,151,71,191,152,161,231,181,151
5,151,181,162,163,221,181,182,183,191,152,153,194,71,191,161,191,152,153,161,223,151,152,161,231,161,151,192,153,154,161,82,151,161,172,163,164
5,161,151,233,151,161,182,151,152,161,151,71,191,192,225,161,182,151,192,193,154,171,172,221,161,151,152,153,161,172,163,164,81,161,162,151,161
5,151,181,182,163,164,191,161,151,225,151,161,151,192,161,162,81,161,162,221,161,182,151,161,162,163,151,192,171,223,161,191,152,153,71,161,151
5,151,161,151,192,193,154,221,161,182,151,152,153,194,235,181,151,181,71,161,162,183,164,175,151,161,223,151,161,151,152,171,162,81,151,161,151
5,151,161,182,163,164,151,161,182,163,151,152,81,191,152,161,151,223,161,191,231,151,152,181,191,181,151,161,162,151,152,225,191,171,162,163,71
5,161,151,152,171,231,151,152,153,233,191,161,151,71,151,161,151,192,161,225,151,192,161,151,192,153,154,82,161,172,163,164,175,186,187,178,151
5,161,162,151,161,191,161,162,151,152,71,191,161,191,161,225,161,162,151,192,153,161,172,233,161,151,152,171,81,171,151,192,161,162,151,152,193
