6,161,151,152,161,162,71,14,162,151,152,235,222,162,163,164,223,113,161,162,151,161,8,13,152,153,161,162,151,91,13,152,153,154,161,233,222,162,163,151,102,14,162,163,151,152,161,221,113,161,151,152,161,112,13,152,153,225,113,161,231,113,161,151,12,,,,
6,161,151,152,161,162,235,222,162,151,7,13,161,151,161,151,82,13,161,162,163,151,231,113,152,161,151,152,225,222,151,161,91,14,162,151,161,233,113,152,153,101,14,151,152,153,223,222,151,152,161,151,161,151,152,161,162,11,13,152,153,161,221,113,152,161,151,152,122
6,151,161,151,152,161,72,13,152,161,162,163,221,113,153,154,161,151,81,13,161,225,222,161,162,151,152,153,161,92,14,151,161,162,151,231,222,10,14,162,151,161,151,223,222,162,151,152,111,14,162,163,164,151,152,161,162,233,113,161,235,222,122,,,,,,
6,161,162,163,151,152,153,161,162,235,113,152,71,13,152,153,154,155,161,151,161,233,113,152,8,14,162,225,222,151,161,151,161,9,14,151,152,153,102,14,151,223,113,151,152,153,154,221,222,162,151,152,162,151,112,14,162,163,231,222,151,121,,,,,,,
6,151,152,153,154,161,162,151,161,72,13,152,153,161,162,151,152,81,13,161,221,222,151,161,162,163,151,9,14,151,161,223,222,153,154,161,162,162,231,113,161,162,163,151,101,14,161,151,233,222,151,152,153,154,235,222,151,152,11,14,162,151,152,225,113,161,151,122,
6,161,162,151,161,162,163,164,233,222,151,161,7,13,152,161,162,82,14,151,152,221,113,161,235,222,162,163,164,91,13,161,151,152,153,161,162,231,113,152,153,161,162,151,10,14,151,161,111,14,151,152,153,225,113,161,151,223,113,161,151,161,151,122,,,,,
6,151,161,151,152,161,162,233,113,161,151,7,13,152,153,154,235,113,161,162,151,161,151,161,81,14,162,225,113,223,222,151,161,92,13,152,153,161,162,231,113,152,101,14,221,113,161,151,161,151,152,112,14,162,151,161,151,12,,,,,,,,,,,
6,161,162,151,161,225,222,162,71,13,161,151,152,153,154,155,233,113,161,151,235,113,161,8,14,162,91,14,151,161,231,113,161,162,151,221,113,16,162,151,102,13,152,161,162,223,222,151,11,13,151,161,162,151,152,161,151,152,15,152,122,,,,,,,,
6,151,161,151,152,153,161,162,163,164,72,13,161,223,222,162,163,151,82,14,151,152,153,161,162,231,113,152,153,91,151,152,153,161,162,225,113,152,153,161,233,113,152,153,10,14,151,161,162,162,151,235,113,111,13,152,161,162,221,222,151,152,153,154,161,12,,,
6,161,151,152,153,161,233,222,162,151,71,14,151,152,161,162,223,222,162,163,164,165,151,81,14,162,151,9,14,151,152,161,151,231,222,151,102,14,161,151,225,222,162,221,222,151,152,153,11,13,161,162,196,235,222,162,151,152,161,12,,,,,,,,,
6,151,152,161,162,151,7,14,151,152,161,162,221,222,162,235,222,82,14,162,163,151,152,233,222,151,161,162,92,13,152,161,162,225,113,152,161,162,151,152,10,13,152,153,154,155,161,162,151,231,222,162,151,111,14,151,152,153,223,222,151,161,151,152,121,,,,
6,161,162,151,161,151,152,153,154,72,14,162,151,161,151,152,161,221,113,152,153,161,8,13,161,162,163,92,13,152,153,231,113,152,161,225,113,153,161,101,14,162,151,151,161,151,161,11,13,151,223,222,151,235,222,163,233,113,161,151,161,121,,,,,,,
6,151,152,153,161,162,221,222,72,14,162,235,113,161,162,231,222,151,161,162,8,13,161,223,113,161,151,152,153,154,9,14,151,152,161,151,152,102,222,162,163,164,165,151,152,161,225,113,153,111,13,161,151,233,113,161,121,,,,,,,,,,,,
6,151,161,151,152,153,161,162,151,223,113,152,161,71,13,161,151,161,162,82,13,161,162,225,222,162,163,151,9,13,161,162,151,161,231,113,152,235,222,151,15,233,222,151,101,13,161,151,161,162,112,14,151,161,221,222,151,12,,,,,,,,,,,
6,161,162,151,152,153,154,161,7,14,162,163,164,165,235,113,152,153,154,81,13,161,231,222,162,151,161,162,151,223,222,162,163,92,13,152,161,162,10,14,151,221,222,15,225,222,151,152,112,14,162,163,233,113,152,161,151,152,153,121,,,,,,,,,
